epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1481.23,2.48422,1.48323,0.86141,0.52968,0.40594,0.3886,0.13894,2.23902,1.35475,0.7513,0.0011486,0.0011486,0.0011486
45,1505.73,2.61912,1.34963,0.88392,0.68005,0.44197,0.48462,0.16477,2.05208,1.3263,0.73139,0.0011288,0.0011288,0.0011288
46,1530.23,2.57271,1.49457,0.86639,0.68346,0.36346,0.45997,0.15435,2.03181,1.556,0.74075,0.001109,0.001109,0.001109
47,1561.1,2.64254,1.42046,0.8606,0.64645,0.39604,0.41833,0.15069,2.17151,1.36179,0.74646,0.0010892,0.0010892,0.0010892
48,1598.1,2.63431,1.47321,0.85957,0.64348,0.44554,0.48225,0.16732,2.16037,1.27846,0.72481,0.0010694,0.0010694,0.0010694
49,1628.31,2.49881,1.36531,0.83851,0.81624,0.46535,0.57109,0.20464,2.00309,1.28304,0.72228,0.0010496,0.0010496,0.0010496
50,1667.27,2.51638,1.33106,0.86078,0.75132,0.45545,0.52934,0.16671,2.22301,1.3939,0.73803,0.0010298,0.0010298,0.0010298
51,1698.46,2.4414,1.22323,0.85521,0.83007,0.53203,0.56278,0.20543,1.82703,1.30421,0.72233,0.00101,0.00101,0.00101
52,1728.73,2.45505,1.37117,0.84447,0.70187,0.42574,0.48122,0.13035,2.18378,1.45275,0.73108,0.0009902,0.0009902,0.0009902
53,1763.63,2.49327,1.27701,0.84869,0.58823,0.43564,0.45177,0.13857,2.29398,1.37003,0.72863,0.0009704,0.0009704,0.0009704
54,1792.62,2.5541,1.23653,0.85888,0.64342,0.34653,0.43759,0.11773,2.35977,1.65116,0.73102,0.0009506,0.0009506,0.0009506
55,1817.67,2.47189,1.2747,0.87213,0.73906,0.54455,0.58207,0.15854,2.20386,1.27847,0.72438,0.0009308,0.0009308,0.0009308
56,1845.78,2.48321,1.4084,0.8589,0.77637,0.35644,0.55321,0.19369,2.25513,1.59351,0.72793,0.000911,0.000911,0.000911
57,1882.23,2.40038,1.2803,0.84058,0.76295,0.54175,0.58738,0.19053,1.97704,1.2149,0.72963,0.0008912,0.0008912,0.0008912
58,1919.29,2.29778,1.28361,0.86382,0.66392,0.49505,0.53856,0.19186,2.15801,1.39159,0.72783,0.0008714,0.0008714,0.0008714
59,1944.91,2.30569,1.20295,0.84559,0.80944,0.54677,0.59346,0.20871,2.15872,1.3035,0.72674,0.0008516,0.0008516,0.0008516
60,1976.79,2.19437,1.17422,0.85386,0.70422,0.5422,0.57118,0.18649,2.15953,1.28076,0.73008,0.0008318,0.0008318,0.0008318
61,2011.5,2.31652,1.21529,0.84346,0.7821,0.46203,0.53905,0.19597,2.03665,1.32312,0.72062,0.000812,0.000812,0.000812
